"LONGITUDE","LATITUDE","CAMERA.ID","TOTAL"
-87.812781431,42.011661765,1243,101
-87.812781431,42.011661765,1244,118
-87.807154769,41.945338412,1591,224
-87.807070326,41.945373358,1593,112
-87.806896749,41.938084468,1391,256
-87.806809552,41.938105479,1394,256
-87.795300781,41.923708193,1523,380
-87.795300781,41.923708193,1524,327
-87.788077674,41.997382173,1272,229
-87.788020406,41.97568567,1031,437
-87.787934296,41.975762574,1034,71
-87.787610243,41.997463981,1274,342
-87.786683238,41.953024751,1023,222
-87.786683238,41.953024751,1024,130
-87.785567206,41.923786189,1553,214
-87.785567206,41.923786189,1554,259
-87.776925284,41.953144059,1161,171
-87.776842593,41.953163772,1163,151
-87.776652162,41.945813215,1491,164
-87.776627421,41.945879676,1493,71
-87.776028612,41.931248624,1453,101
-87.776028612,41.931248624,1454,121
-87.767150151,41.953272751,1182,131
-87.767065708,41.953292847,1183,94
-87.766904594,41.945919491,1682,161
-87.766879952,41.945985104,1683,136
-87.766648297,41.938617463,1602,87
-87.766562494,41.938683775,1604,104
-87.766396529,41.931365552,1642,50
-87.766310532,41.931385977,1644,36
-87.766141214,41.924068922,1442,52
-87.76605353,41.924090199,1444,102
-87.765543258,41.894896579,1972,198
-87.765460791,41.894962293,1973,195
-87.765268498,41.887804621,1742,324
-87.765183663,41.887838735,1743,244
-87.756294662,41.924151874,1421,53
-87.756210755,41.924215797,1424,323
-87.755130433,41.880480752,2043,266
-87.755130433,41.880480752,2044,798
-87.75463824,41.96061723,1362,106
-87.754371424,41.960522088,1364,266
-87.748473024,41.989973915,1202,190
-87.748376951,41.990008007,1204,102
-87.747875985,41.968048007,1041,365
-87.747875985,41.968048007,1042,420
-87.747215169,41.946163524,1611,308
-87.747215169,41.946163524,1612,339
-87.746743301,41.931575608,1691,251
-87.746719911,41.93164142,1694,110
-87.74645019,41.92428359,1472,267
-87.74642764,41.924347036,1474,140
-87.746260223,41.916973325,2001,284
-87.746244973,41.90973389,2033,159
-87.746244973,41.90973389,2034,130
-87.746176095,41.917041992,2003,54
-87.745955516,41.895049038,1781,183
-87.745932427,41.895112219,1783,184
-87.745489247,41.88187971,1891,482
-87.745489247,41.88187971,1892,375
-87.745143869,41.873094833,2022,338
-87.745117179,41.873245464,2023,153
-87.743536712,41.816729387,2251,6546
-87.743536712,41.816729387,2252,524
-87.743296821,41.807530373,2202,85
-87.743229366,41.807727017,2204,540
-87.743071866,41.798558278,2081,1474
-87.743020541,41.798758208,2084,464
-87.740283894,41.968039361,1282,157
-87.739599251,41.968226398,1284,292
-87.736404667,41.909788304,2011,64
-87.736380296,41.909863573,2013,291
-87.73624887,41.91018141,2012,346
-87.735108549,41.865938839,2321,248
-87.73508956,41.866140868,2323,330
-87.734547457,41.848068845,2222,276
-87.734505969,41.847777523,2223,560
-87.728790748,41.990160923,1262,90
-87.728714391,41.990244186,1263,673
-87.728383135,41.97562074,1102,194
-87.728335469,41.975640616,1104,347
-87.728175316,41.968262595,1172,55
-87.728091672,41.968351285,1173,116
-87.727766612,41.953737051,1572,172
-87.727698513,41.953756874,1574,475
-87.72733371,41.939138154,1382,222
-87.727310134,41.93920375,1383,68
-87.727126873,41.931831026,1542,135
-87.72710503,41.931897723,1543,192
-87.726919111,41.924572574,1481,116
-87.726819268,41.924593022,1484,337
-87.726622746,41.917275069,1843,171
-87.726622746,41.917275069,1844,117
-87.726480523,41.90997501,1992,107
-87.726451457,41.902713902,1801,151
-87.726451457,41.902713902,1802,218
-87.726394693,41.909995582,1994,165
-87.726230541,41.895456457,1982,109
-87.72614436,41.895476752,1983,197
-87.725305995,41.866079337,2311,263
-87.72523422,41.866281003,2314,228
-87.724904787,41.851521442,2332,242
-87.724882975,41.851654369,2334,338
-87.723576766,41.802365973,2153,243
-87.723576766,41.802365973,2154,64
-87.723303765,41.793155061,2242,161
-87.723223038,41.793313334,2244,115
-87.722906356,41.778636469,2342,315
-87.722823195,41.77876739,2343,155
-87.722052091,41.749339,2492,163
-87.721978345,41.749679359,2494,252
-87.721069539,41.885282636,1881,326
-87.721069539,41.885282636,1882,193
-87.720881226,41.880897273,1903,976
-87.719297882,41.953687266,1502,57
-87.71238583,41.932087747,1583,157
-87.711953868,41.910162847,1773,474
-87.708952626,41.946549165,1402,176
-87.708609774,41.946734755,1403,432
-87.708077494,41.954029047,1353,297
-87.708077494,41.954029047,1354,584
-87.707846594,41.93935173,1371,65
-87.707846594,41.93935173,1372,830
-87.707718516,41.939440561,1373,123
-87.707116072,41.917446172,1832,383
-87.707053639,41.917511023,1834,102
-87.705185452,41.844424831,2381,171
-87.705185452,41.844424831,2382,113
-87.704967115,41.837132671,2132,535
-87.704950558,41.8373395,2134,212
-87.704118822,41.808047272,2101,549
-87.704031672,41.808226246,2104,91
-87.703697508,41.793420237,2162,105
-87.703618141,41.793622803,2163,122
-87.703283119,41.77894575,2361,96
-87.703260365,41.779081505,2364,132
-87.702957162,41.764295037,2352,279
-87.702877023,41.764497433,2354,178
-87.702539572,41.749723972,2442,20
-87.702448478,41.749952001,2443,255
-87.702352328,41.895640714,1812,567
-87.702218524,41.895704525,1814,246
-87.701436479,41.884012178,1821,588
-87.701436479,41.884012178,1822,390
-87.699792629,41.997649133,1321,106
-87.699706423,41.997669523,1323,148
-87.699552084,41.990527717,1311,57
-87.699464396,41.990552082,1313,239
-87.6977653,41.932120719,1511,453
-87.697679244,41.932205395,1513,218
-87.697679244,41.932205395,1514,1501
-87.690393917,42.012371335,1251,58
-87.690393917,42.012371335,1252,37
-87.690033035,41.997817807,1211,112
-87.690033035,41.997817807,1212,109
-87.689822473,41.990586042,1011,277
-87.689735481,41.99060901,1014,448
-87.689299589,41.975933372,1072,213
-87.689275084,41.97600019,1074,327
-87.689054241,41.968640727,1192,333
-87.688968727,41.968724349,1193,240
-87.688832623,41.961401846,1221,445
-87.68874698,41.961421726,1224,98
-87.688406662,41.94681992,1562,389
-87.687790255,41.924935944,1671,825
-87.687790255,41.924935944,1672,42
-87.687370268,41.910409024,1851,334
-87.687284221,41.910429862,1853,166
-87.686990586,41.895786955,1941,224
-87.686968935,41.895851041,1943,153
-87.68653594,41.881270504,1934,140
-87.686415631,41.876064776,2052,1810
-87.686283339,41.881118279,1931,113
-87.685785704,41.85198384,1002,264
-87.685752642,41.852141307,1003,90
-87.685177925,41.830187255,2091,128
-87.685177925,41.830187255,2092,203
-87.685018951,41.82309676,2114,207
-87.684570717,41.808378408,2141,521
-87.684570717,41.808378408,2142,108
-87.684384785,41.822963628,2112,324
-87.684175377,41.793370554,2212,276
-87.684141741,41.793981347,2213,403
-87.683783099,41.779123484,2371,77
-87.683675761,41.779331844,2373,79
-87.683588402,41.771884028,2672,267
-87.683508858,41.772086214,2674,174
-87.683387053,41.764608912,2612,287
-87.683308769,41.764810388,2614,70
-87.682992203,41.750054934,2481,176
-87.682817693,41.750220168,2484,50
-87.678282719,41.932329494,1462,489
-87.678173031,41.932394164,1464,306
-87.677383247,41.903298793,1733,303
-87.677383247,41.903298793,1734,489
-87.674052731,41.779226921,2701,205
-87.674052731,41.779226921,2702,217
-87.670104121,41.98929863,1051,403
-87.670104121,41.98929863,1052,284
-87.669590434,41.96902343,1142,408
-87.669516307,41.968987457,1143,273
-87.66919912,41.954379326,1151,175
-87.668294363,41.92519389,1651,227
-87.668294363,41.92519389,1652,585
-87.667947354,41.916147281,1721,979
-87.667837772,41.916235337,1723,274
-87.667643142,41.903377468,1791,465
-87.667558994,41.903455316,1793,208
-87.666929463,41.881564167,1914,222
-87.663940176,41.764859382,2391,241
-87.66385923,41.765018306,2394,269
-87.663209544,41.735696989,2452,293
-87.663128781,41.735898617,2454,330
-87.662828139,41.721160612,2472,416
-87.662724153,41.721324412,2473,418
-87.662446259,41.954432441,1091,165
-87.662293496,41.954487567,1093,343
-87.660695256,41.998217921,1122,650
-87.660611661,41.998298228,1123,251
-87.660015082,41.976412143,1111,166
-87.659931806,41.97643192,1113,139
-87.655335807,41.985649799,1343,391
-87.655335807,41.985649799,1344,760
-87.655133605,41.976492721,1132,129
-87.655031882,41.976505116,1134,150
-87.648912156,41.925540315,1701,238
-87.648823641,41.925562791,1704,327
-87.648419043,41.910940644,1761,238
-87.648335806,41.91102851,1764,178
-87.648245351,41.903698308,1711,443
-87.648167011,41.903745557,1714,395
-87.647214717,41.881815632,1872,318
-87.647210539,41.881717056,1871,343
-87.646972686,41.867263098,2233,361
-87.646972686,41.867263098,2234,450
-87.6454274,41.736157546,2413,862
-87.645341819,41.736006565,2412,643
-87.644188368,41.750549559,2541,271
-87.644107793,41.750751157,2543,131
-87.643358042,41.721365061,2581,320
-87.643358042,41.721365061,2582,122
-87.643145408,41.714118868,2431,785
-87.643066714,41.714323337,2433,845
-87.642896007,41.70702632,2593,123
-87.642522688,41.692263123,2422,374
-87.642440901,41.692465363,2424,206
-87.642279564,41.685190056,2553,215
-87.642051845,41.677720829,2402,412
-87.641989646,41.677923389,2404,169
-87.640650973,41.925597623,1631,223
-87.640650973,41.925597623,1632,118
-87.639639114,41.940241193,1413,2617
-87.639375813,41.867175125,2291,513
-87.63936916,41.940909163,1412,624
-87.639293195,41.867362693,2294,669
-87.632674115,41.889225372,1921,329
-87.632601648,41.889297219,1923,136
-87.631321248,41.896744347,1963,717
-87.631321248,41.896744347,1964,578
-87.630547476,41.794670385,2264,392
-87.625621311,41.736376037,2503,882
-87.625587569,41.73616511,2502,1172
-87.625522512,41.780008277,2712,358
-87.625289553,41.779949105,2714,656
-87.624902228,41.758092176,2621,825
-87.624690123,41.750918138,2651,485
-87.624671658,41.758074111,2624,958
-87.624463832,41.750852096,2654,2202
-87.620371839,41.891044569,1951,1039
-87.620371839,41.891044569,1952,266
-87.617046113,41.838534018,2123,230
-87.605729127,41.765800351,2571,115
-87.605729127,41.765800351,2572,226
-87.586442368,41.773292896,2721,600
-87.586234285,41.756897173,2631,1223
-87.586234285,41.756897173,2632,1098
-87.585971993,41.751460603,2462,124
-87.585632266,41.751339705,2461,47
-87.585592284,41.751611523,2464,207
-87.5852246,41.77325149,2731,483
-87.585003569,41.722449457,2513,127
-87.585003569,41.722449457,2514,223
-87.575499903,41.722375907,2522,172
-87.575292523,41.722579473,2523,98
